SCIENTIFIC NAME,X,Y
Cedrelinga cateniformis,797393,9479350
Cedrelinga cateniformis,797363,9479381
Cedrelinga cateniformis,797451,9479423
Cedrelinga cateniformis,796445,9477744
Cedrelinga cateniformis,797383,9476686
Cedrelinga cateniformis,797424,9476649
Cedrelinga cateniformis,797463,9476654
Cedrelinga cateniformis,797488,9476653
Cedrelinga cateniformis,797588,9476687
Cedrelinga cateniformis,797647,9476717
Cedrelinga cateniformis,797626,9476716
Cedrelinga cateniformis,797598,9476673
Cedrelinga cateniformis,800162,9475783
Cedrelinga cateniformis,800129,9475792
Cedrelinga cateniformis,800127,9475798
Cedrelinga cateniformis,800137,9475799
Cedrelinga cateniformis,800143,9475806
Cedrelinga cateniformis,800145,9475805
Cedrelinga cateniformis,800151,9475793
Cedrelinga cateniformis,800167,9475869
Cedrelinga cateniformis,800330,9475878
Cedrelinga cateniformis,179996,9518954
Cedrelinga cateniformis,179891,9518630
Cedrelinga cateniformis,186568,9525909
Cedrelinga cateniformis,186340,9526231
Cedrelinga cateniformis,185077,9526190
Cedrelinga cateniformis,185792,9529644
Cedrelinga cateniformis,185657,9529530
Cedrelinga cateniformis,185061,9529759
Cedrelinga cateniformis,180425,9519351
Cedrelinga cateniformis,180449,9519414
Cedrelinga cateniformis,180179,9520013
Cedrelinga cateniformis,182745,9524117
Cedrelinga cateniformis,182899,9523623
Cedrelinga cateniformis,183101,9522641
Cedrelinga cateniformis,182712,9522838
Cedrelinga cateniformis,182576,9522994
Cedrelinga cateniformis,182243,9522348
Cedrelinga cateniformis,182236,9522344
Cedrelinga cateniformis,188939,9520539
Cedrelinga cateniformis,188749,9520715
Cedrelinga cateniformis,185981,9528907
Cedrelinga cateniformis,186282,9529606
Cedrelinga cateniformis,186274,9529536
Cedrelinga cateniformis,186284,9529546
Cedrelinga cateniformis,186601,9528734
Cedrelinga cateniformis,187336,9530362
Cedrelinga cateniformis,187109,9530709
Cedrelinga cateniformis,187104,9530708
Cedrelinga cateniformis,187101,9530718
Cedrelinga cateniformis,187108,9531055
Cedrelinga cateniformis,187013,9531247
Cedrelinga cateniformis,185103,9525276
Cedrelinga cateniformis,185555,9524945
Cedrelinga cateniformis,184458,9525396
Cedrelinga cateniformis,184028,9525558
Cedrelinga cateniformis,825244,9484396
Cedrelinga cateniformis,825299,9484372
Cedrelinga cateniformis,825360,9484682
Cedrelinga cateniformis,825081,9484448
Cedrelinga cateniformis,806407,9462892
Cedrelinga cateniformis,807714,9461747
Cedrelinga cateniformis,807798,9461868
Cedrelinga cateniformis,807801,9462242
Cedrelinga cateniformis,807940,9462490
Cedrelinga cateniformis,810207,9462289
Cedrelinga cateniformis,810566,9462105
Cedrelinga cateniformis,806423,9464687
Cedrelinga cateniformis,806223,9464679
Cedrelinga cateniformis,806121,9464698
Cedrelinga cateniformis,808399,9461430
Cedrelinga cateniformis,808172,9462927
Cedrelinga cateniformis,809316,9462506
Cedrelinga cateniformis,809352,9462412
Cedrelinga cateniformis,810078,9462407
Cedrelinga cateniformis,810075,9462395
Cedrelinga cateniformis,810533,9462205
Cedrelinga cateniformis,810837,9462285
Cedrelinga cateniformis,174239,9641200
Cedrelinga cateniformis,173991,9641114
Cedrelinga cateniformis,173912,9641092
Cedrelinga cateniformis,173697,9641061
Cedrelinga cateniformis,173665,9641070
Cedrelinga cateniformis,173666,9641106
Cedrelinga cateniformis,173203,9641541
Cedrelinga cateniformis,172097,9640895
Cedrelinga cateniformis,171296,9641260
Cedrelinga cateniformis,171273,9641305
Cedrelinga cateniformis,174755,9641496
Cedrelinga cateniformis,174220,9641208
Cedrelinga cateniformis,174165,9641185
Cedrelinga cateniformis,174007,9641118
Cedrelinga cateniformis,201857,9534945
Cedrelinga cateniformis,201639,9535746
Cedrelinga cateniformis,201670,9535683
Cedrelinga cateniformis,204606,9536326
Cedrelinga cateniformis,204888,9536399
Cedrelinga cateniformis,827902,9502983
Cedrelinga cateniformis,828348,9504435
Cedrelinga cateniformis,827885,9502991
Cedrelinga cateniformis,827737,9502885
Cedrelinga cateniformis,827618,9502999
Cedrelinga cateniformis,827279,9502580
Cedrelinga cateniformis,826548,9501689
Cedrelinga cateniformis,828036,9503974
Cedrelinga cateniformis,827926,9503811
Cedrelinga cateniformis,827595,9503126
Cedrelinga cateniformis,827567,9503088
Cedrelinga cateniformis,827419,9502850
Cedrelinga cateniformis,181646,9504753
Cedrelinga cateniformis,181576,9504466
Cedrelinga cateniformis,181311,9504486
Cedrelinga cateniformis,181257,9504265
Cedrelinga cateniformis,181259,9503761
Cedrelinga cateniformis,180960,9503191
Cedrelinga cateniformis,182263,9503056
Cedrelinga cateniformis,180583,9502512
Cedrelinga cateniformis,180578,9502749
Cedrelinga cateniformis,180642,9502743
Cedrelinga cateniformis,180463,9502491
Cedrelinga cateniformis,826802,9488130
Cedrelinga cateniformis,826851,9488105
Cedrelinga cateniformis,827821,9489416
Cedrelinga cateniformis,827711,9489838
Cedrelinga cateniformis,927458,9489794
Cedrelinga cateniformis,827527,9489816
Cedrelinga cateniformis,827610,9489813
Cedrelinga cateniformis,827688,9489844
Cedrelinga cateniformis,827786,9490271
Cedrelinga cateniformis,827749,9490440
Cedrelinga cateniformis,829221,9489425
Cedrelinga cateniformis,829241,9489426
Cedrelinga cateniformis,829281,9489469
Cedrelinga cateniformis,829320,9489439
Cedrelinga cateniformis,829340,9489438
Cedrelinga cateniformis,829357,9489429
Cedrelinga cateniformis,829343,9489462
Cedrelinga cateniformis,829377,9489471
Cedrelinga cateniformis,829267,9489452
Cedrelinga cateniformis,829223,9489447
Cedrelinga cateniformis,829374,9489481
Cedrelinga cateniformis,183222,9502019
Cedrelinga cateniformis,183216,9502088
Cedrelinga cateniformis,183111,9502391
Cedrelinga cateniformis,183121,9502399
Cedrelinga cateniformis,183095,9502454
Cedrelinga cateniformis,182590,9497618
Cedrelinga cateniformis,168106,9501718
Cedrelinga cateniformis,167775,9501678
Cedrelinga cateniformis,168162,9501726
Cedrelinga cateniformis,167921,9501559
Cedrelinga cateniformis,168848,9501562
Cedrelinga cateniformis,170067,9501444
Cedrelinga cateniformis,169576,9501477
Cedrelinga cateniformis,168443,9499862
Cedrelinga cateniformis,168425,9499939
Cedrelinga cateniformis,199301,9501742
Cedrelinga cateniformis,199280,9501755
Cedrelinga cateniformis,195632,9499477
Cedrelinga cateniformis,195722,9499568
Cedrelinga cateniformis,201857,9534945
Cedrelinga cateniformis,201639,9535746
Cedrelinga cateniformis,201670,9535683
Cedrelinga cateniformis,204606,9536326
Cedrelinga cateniformis,204888,9536399
Cedrelinga cateniformis,204606,9536326
Cedrelinga cateniformis,204888,9536399
Cedrelinga cateniformis,797535,9414657
Cedrelinga cateniformis,797577,9414256
Cedrelinga cateniformis,799611,9414356
Cedrelinga cateniformis,799618,9414359
Cedrelinga cateniformis,799600,9414398
Cedrelinga cateniformis,799591,9414398
Cedrelinga cateniformis,799562,9414425
Cedrelinga cateniformis,799429,9414392
Cedrelinga cateniformis,798512,9414817
Cedrelinga cateniformis,798665,9414833
Cedrelinga cateniformis,798690,9414867
Cedrelinga cateniformis,798966,9414969
Cedrelinga cateniformis,823492,9463004
Cedrelinga cateniformis,818058,9463088
Cedrelinga cateniformis,817997,9463089
Cedrelinga cateniformis,818820,9462013
Cedrelinga cateniformis,818767,9462011
